state,candidate,total_votes,party,Election Year
Alabama,"McCain, John","1,266,546",Republican,2008
Alabama,"Obama, Barack","813,479",Democrat,2008
Alaska,"McCain, John","193,841",Republican,2008
Alaska,"Obama, Barack","123,594",Democrat,2008
Arizona,"McCain, John","1,230,111",Republican,2008
Arizona,"Obama, Barack","1,034,707",Democrat,2008
Arkansas,"McCain, John","638,017",Republican,2008
Arkansas,"Obama, Barack","422,310",Democrat,2008
California,"Obama, Barack","8,274,473",Democrat,2008
California,"McCain, John","5,011,781",Republican,2008
Colorado,"Obama, Barack","1,288,633",Democrat,2008
Colorado,"McCain, John","1,073,629",Republican,2008
Connecticut,"Obama, Barack","997,772",Democrat,2008
Connecticut,"McCain, John","629,428",Republican,2008
Delaware,"Obama, Barack","255,459",Democrat,2008
Delaware,"McCain, John","152,374",Republican,2008
District of Columbia,"Obama, Barack","245,800",Democrat,2008
District of Columbia,"McCain, John","17,367",Republican,2008
Florida,"Obama, Barack","4,282,074",Democrat,2008
Florida,"McCain, John","4,045,624",Republican,2008
Georgia,"McCain, John","2,048,759",Republican,2008
Georgia,"Obama, Barack","1,844,123",Democrat,2008
Hawaii,"Obama, Barack","325,871",Democrat,2008
Hawaii,"McCain, John","120,566",Republican,2008
Idaho,"McCain, John","403,012",Republican,2008
Idaho,"Obama, Barack","236,440",Democrat,2008
Illinois,"Obama, Barack","3,419,348",Democrat,2008
Illinois,"McCain, John","2,031,179",Republican,2008
Indiana,"Obama, Barack","1,374,039",Democrat,2008
Indiana,"McCain, John","1,345,648",Republican,2008
Iowa,"Obama, Barack","828,940",Democrat,2008
Iowa,"McCain, John","682,379",Republican,2008
Kansas,"McCain, John","699,655",Republican,2008
Kansas,"Obama, Barack","514,765",Democrat,2008
Kentucky,"McCain, John","1,048,462",Republican,2008
Kentucky,"Obama, Barack","751,985",Democrat,2008
Louisiana,"McCain, John","1,148,275",Republican,2008
Louisiana,"Obama, Barack","782,989",Democrat,2008
Maine,"Obama, Barack","421,923",Democrat,2008
Maine,"McCain, John","295,273",Republican,2008
Maryland,"Obama, Barack","1,629,467",Democrat,2008
Maryland,"McCain, John","959,862",Republican,2008
Massachusetts,"Obama, Barack","1,904,097",Democrat,2008
Massachusetts,"McCain, John","1,108,854",Republican,2008
Michigan,"Obama, Barack","2,872,579",Democrat,2008
Michigan,"McCain, John","2,048,639",Republican,2008
Minnesota,"McCain, John","1,275,409",Republican,2008
Mississippi,"McCain, John","724,597",Republican,2008
Mississippi,"Obama, Barack","554,662",Democrat,2008
Missouri,"McCain, John","1,445,814",Republican,2008
Missouri,"Obama, Barack","1,441,911",Democrat,2008
Montana,"McCain, John","242,763",Republican,2008
Montana,"Obama, Barack","231,667",Democrat,2008
Nebraska,"McCain, John","452,979",Republican,2008
Nebraska,"Obama, Barack","333,319",Democrat,2008
Nevada,"Obama, Barack","533,736",Democrat,2008
Nevada,"McCain, John","412,827",Republican,2008
New Hampshire,"Obama, Barack","384,826",Democrat,2008
New Hampshire,"McCain, John","316,534",Republican,2008
New Jersey,"Obama, Barack","2,215,422",Democrat,2008
New Jersey,"McCain, John","1,613,207",Republican,2008
New Mexico,"Obama, Barack","472,422",Democrat,2008
New Mexico,"McCain, John","346,832",Republican,2008
New York,"Obama, Barack","4,645,332",Democrat,2008
New York,"McCain, John","2,418,323",Republican,2008
North Carolina,"Obama, Barack","2,142,651",Democrat,2008
North Carolina,"McCain, John","2,128,474",Republican,2008
North Dakota,"McCain, John","168,601",Republican,2008
Ohio,"Obama, Barack","2,940,044",Democrat,2008
Ohio,"McCain, John","2,677,820",Republican,2008
Oklahoma,"McCain, John","960,165",Republican,2008
Oklahoma,"Obama, Barack","502,496",Democrat,2008
Oregon,"Obama, Barack","1,037,291",Democrat,2008
Oregon,"McCain, John","738,475",Republican,2008
Pennsylvania,"Obama, Barack","3,276,363",Democrat,2008
Pennsylvania,"McCain, John","2,655,885",Republican,2008
Rhode Island,"Obama, Barack","296,571",Democrat,2008
Rhode Island,"McCain, John","165,391",Republican,2008
South Carolina,"McCain, John","1,034,896",Republican,2008
South Carolina,"Obama, Barack","862,449",Democrat,2008
South Dakota,"McCain, John","203,054",Republican,2008
South Dakota,"Obama, Barack","170,924",Democrat,2008
Tennessee,"McCain, John","1,479,178",Republican,2008
Tennessee,"Obama, Barack","1,087,437",Democrat,2008
Texas,"McCain, John","4,479,328",Republican,2008
Texas,"Obama, Barack","3,528,633",Democrat,2008
Utah,"McCain, John","596,030",Republican,2008
Utah,"Obama, Barack","327,670",Democrat,2008
Vermont,"Obama, Barack","219,262",Democrat,2008
Vermont,"McCain, John","98,974",Republican,2008
Virginia,"Obama, Barack","1,959,532",Democrat,2008
Virginia,"McCain, John","1,725,005",Republican,2008
Washington,"Obama, Barack","1,750,848",Democrat,2008
Washington,"McCain, John","1,229,216",Republican,2008
West Virginia,"McCain, John Sidney, III","397,466",Republican,2008
West Virginia,"Obama, Barack Hussein","303,857",Democrat,2008
Wisconsin,"Obama, Barack","1,677,211",Democrat,2008
Wisconsin,"McCain, John","1,262,393",Republican,2008
Wyoming,"McCain, John","164,958",Republican,2008
Wyoming,"Obama, Barack","82,868",Democrat,2008
Alabama,"Romney, Mitt","1,255,925",Republican,2012
Alabama,"Obama, Barack","795,696",Democrat,2012
Alaska,"Romney, Mitt","164,676",Republican,2012
Alaska,"Obama, Barack","122,640",Democrat,2012
Arizona,"Romney, Mitt","1,233,654",Republican,2012
Arizona,"Obama, Barack","1,025,232",Democrat,2012
Arkansas,"Romney, Mitt","647,744",Republican,2012
Arkansas,"Obama, Barack","394,409",Democrat,2012
California,"Obama, Barack","7,854,285",Democrat,2012
California,"Romney, Mitt","4,839,958",Republican,2012
Colorado,"Obama, Barack","1,323,102",Democrat,2012
Colorado,"Romney, Mitt","1,185,243",Republican,2012
Connecticut,"Obama, Barack","905,083",Democrat,2012
Connecticut,"Romney, Mitt","634,892",Republican,2012
Delaware,"Obama, Barack","242,584",Democrat,2012
Delaware,"Romney, Mitt","165,484",Republican,2012
District of Columbia,"Obama, Barack","267,070",Democrat,2012
District of Columbia,"Romney, Mitt","21,381",Republican,2012
Florida,"Obama, Barack","4,237,756",Democrat,2012
Florida,"Romney, Mitt","4,163,447",Republican,2012
Georgia,"Romney, Mitt","2,078,688",Republican,2012
Georgia,"Obama, Barack","1,773,827",Democrat,2012
Hawaii,"Obama, Barack","306,658",Democrat,2012
Hawaii,"Romney, Mitt","121,015",Republican,2012
Idaho,"Romney, Mitt","420,911",Republican,2012
Idaho,"Obama, Barack","212,787",Democrat,2012
Illinois,"Obama, Barack","3,019,512",Democrat,2012
Illinois,"Romney, Mitt","2,135,216",Republican,2012
Indiana,"Romney, Mitt","1,420,543",Republican,2012
Indiana,"Obama, Barack","1,152,887",Democrat,2012
Iowa,"Obama, Barack","822,544",Democrat,2012
Iowa,"Romney, Mitt","730,617",Republican,2012
Kansas,"Romney, Mitt","692,634",Republican,2012
Kansas,"Obama, Barack","440,726",Democrat,2012
Kentucky,"Romney, Mitt","1,087,190",Republican,2012
Kentucky,"Obama, Barack","679,370",Democrat,2012
Louisiana,"Romney, Mitt","1,152,262",Republican,2012
Louisiana,"Obama, Barack","809,141",Democrat,2012
Maine,"Obama, Barack","401,306",Democrat,2012
Maine,"Romney, Mitt","292,276",Republican,2012
Maryland,"Obama, Barack","1,677,844",Democrat,2012
Maryland,"Romney, Mitt","971,869",Republican,2012
Massachusetts,"Obama, Barack","1,921,290",Democrat,2012
Massachusetts,"Romney, Mitt","1,188,314",Republican,2012
Michigan,"Obama, Barack","2,564,569",Democrat,2012
Michigan,"Romney, Mitt","2,115,256",Republican,2012
Minnesota,"Romney, Mitt","1,320,225",Republican,2012
Mississippi,"Romney, Mitt","710,746",Republican,2012
Mississippi,"Obama, Barack","562,949",Democrat,2012
Missouri,"Romney, Mitt","1,482,440",Republican,2012
Missouri,"Obama, Barack","1,223,796",Democrat,2012
Montana,"Romney, Mitt","267,928",Republican,2012
Montana,"Obama, Barack","201,839",Democrat,2012
Nebraska,"Romney, Mitt","475,064",Republican,2012
Nebraska,"Obama, Barack","302,081",Democrat,2012
Nevada,"Obama, Barack","531,373",Democrat,2012
Nevada,"Romney, Mitt","463,567",Republican,2012
New Hampshire,"Obama, Barack","369,561",Democrat,2012
New Hampshire,"Romney, Mitt","329,918",Republican,2012
New Jersey,"Obama, Barack","2,125,101",Democrat,2012
New Jersey,"Romney, Mitt","1,477,568",Republican,2012
New Mexico,"Obama, Barack","415,335",Democrat,2012
New Mexico,"Romney, Mitt","335,788",Republican,2012
New York,"Obama, Barack","[4,337,622]",Democrat,2012
New York,"Romney, Mitt","[2,228,060]",Republican,2012
North Carolina,"Romney, Mitt","2,270,395",Republican,2012
North Carolina,"Obama, Barack","2,178,391",Democrat,2012
North Dakota,"Romney, Mitt","188,163",Republican,2012
Ohio,"Obama, Barack","2,827,709",Democrat,2012
Ohio,"Romney, Mitt","2,661,437",Republican,2012
Oklahoma,"Romney, Mitt","891,325",Republican,2012
Oklahoma,"Obama, Barack","443,547",Democrat,2012
Oregon,"Obama, Barack","970,488",Democrat,2012
Oregon,"Romney, Mitt","754,175",Republican,2012
Pennsylvania,"Obama, Barack","2,990,274",Democrat,2012
Pennsylvania,"Romney, Mitt","2,680,434",Republican,2012
Rhode Island,"Obama, Barack","279,677",Democrat,2012
Rhode Island,"Romney, Mitt","157,204",Republican,2012
South Carolina,"Romney, Mitt","1,071,645",Republican,2012
South Carolina,"Obama, Barack","865,941",Democrat,2012
South Dakota,"Romney, Mitt","210,610",Republican,2012
South Dakota,"Obama, Barack","145,039",Democrat,2012
Tennessee,"Romney, Mitt","1,462,330",Republican,2012
Tennessee,"Obama, Barack","960,709",Democrat,2012
Texas,"Romney, Mitt","4,569,843",Republican,2012
Texas,"Obama, Barack","3,308,124",Democrat,2012
Utah,"Romney, Mitt","740,600",Republican,2012
Utah,"Obama, Barack","251,813",Democrat,2012
Vermont,"Obama, Barack","199,239",Democrat,2012
Vermont,"Romney, Mitt","92,698",Republican,2012
Virginia,"Obama, Barack","1,971,820",Democrat,2012
Virginia,"Romney, Mitt","1,822,522",Republican,2012
Washington,"Obama, Barack","1,755,396",Democrat,2012
Washington,"Romney, Mitt","1,290,670",Republican,2012
West Virginia,"Romney, Mitt","417,655",Republican,2012
West Virginia,"Obama, Barack","238,269",Democrat,2012
Wisconsin,"Obama, Barack","1,620,985",Democrat,2012
Wisconsin,"Romney, Mitt","1,407,966",Republican,2012
Wyoming,"Romney, Mitt","170,962",Republican,2012
Wyoming,"Obama, Barack","69,286",Democrat,2012
Alabama,Bernie Sanders,544,Democrat,2016
Alabama,Hillary Clinton,2387,Democrat,2016
Alabama,Bernie Sanders,2694,Democrat,2016
Alabama,Hillary Clinton,5290,Democrat,2016
Alabama,Bernie Sanders,222,Democrat,2016
Alabama,Hillary Clinton,2567,Democrat,2016
Alabama,Bernie Sanders,246,Democrat,2016
Alabama,Hillary Clinton,942,Democrat,2016
Alabama,Bernie Sanders,395,Democrat,2016
Alabama,Hillary Clinton,564,Democrat,2016
Alabama,Bernie Sanders,178,Democrat,2016
Alabama,Hillary Clinton,2451,Democrat,2016
Alabama,Bernie Sanders,156,Democrat,2016
Alabama,Hillary Clinton,2196,Democrat,2016
Alabama,Bernie Sanders,1425,Democrat,2016
Alabama,Hillary Clinton,5011,Democrat,2016
Alabama,Bernie Sanders,312,Democrat,2016
Alabama,Hillary Clinton,2899,Democrat,2016
Alabama,Bernie Sanders,268,Democrat,2016
Alabama,Hillary Clinton,712,Democrat,2016
Alabama,Bernie Sanders,289,Democrat,2016
Alabama,Hillary Clinton,860,Democrat,2016
Alabama,Bernie Sanders,273,Democrat,2016
Alabama,Hillary Clinton,1772,Democrat,2016
Alabama,Bernie Sanders,213,Democrat,2016
Alabama,Hillary Clinton,3148,Democrat,2016
Alabama,Bernie Sanders,135,Democrat,2016
Alabama,Hillary Clinton,807,Democrat,2016
Alabama,Bernie Sanders,72,Democrat,2016
Alabama,Hillary Clinton,221,Democrat,2016
Alabama,Bernie Sanders,389,Democrat,2016
Alabama,Hillary Clinton,1493,Democrat,2016
Alabama,Bernie Sanders,1342,Democrat,2016
Alabama,Hillary Clinton,3879,Democrat,2016
Alabama,Bernie Sanders,544,Democrat,2016
Alabama,Hillary Clinton,2031,Democrat,2016
Alabama,Bernie Sanders,125,Democrat,2016
Alabama,Hillary Clinton,1012,Democrat,2016
Alabama,Bernie Sanders,188,Democrat,2016
Alabama,Hillary Clinton,737,Democrat,2016
Alabama,Bernie Sanders,107,Democrat,2016
Alabama,Hillary Clinton,908,Democrat,2016
Alabama,Bernie Sanders,723,Democrat,2016
Alabama,Hillary Clinton,1275,Democrat,2016
Alabama,Bernie Sanders,415,Democrat,2016
Alabama,Hillary Clinton,1544,Democrat,2016
Alabama,Bernie Sanders,1774,Democrat,2016
Alabama,Hillary Clinton,8577,Democrat,2016
Alabama,Bernie Sanders,667,Democrat,2016
Alabama,Hillary Clinton,1297,Democrat,2016
Alabama,Bernie Sanders,694,Democrat,2016
Alabama,Hillary Clinton,3019,Democrat,2016
Alabama,Bernie Sanders,226,Democrat,2016
Alabama,Hillary Clinton,2027,Democrat,2016
Alabama,Bernie Sanders,1289,Democrat,2016
Alabama,Hillary Clinton,4262,Democrat,2016
Alabama,Bernie Sanders,148,Democrat,2016
Alabama,Hillary Clinton,660,Democrat,2016
Alabama,Bernie Sanders,767,Democrat,2016
Alabama,Hillary Clinton,1233,Democrat,2016
Alabama,Bernie Sanders,157,Democrat,2016
Alabama,Hillary Clinton,544,Democrat,2016
Alabama,Bernie Sanders,213,Democrat,2016
Alabama,Hillary Clinton,2714,Democrat,2016
Alabama,Bernie Sanders,427,Democrat,2016
Alabama,Hillary Clinton,2426,Democrat,2016
Alabama,Bernie Sanders,163,Democrat,2016
Alabama,Hillary Clinton,1170,Democrat,2016
Alabama,Bernie Sanders,780,Democrat,2016
Alabama,Hillary Clinton,3044,Democrat,2016
Alabama,Bernie Sanders,510,Democrat,2016
Alabama,Hillary Clinton,1327,Democrat,2016
Alabama,Bernie Sanders,14319,Democrat,2016
Alabama,Hillary Clinton,67357,Democrat,2016
Alabama,Bernie Sanders,173,Democrat,2016
Alabama,Hillary Clinton,442,Democrat,2016
Alabama,Bernie Sanders,1745,Democrat,2016
Alabama,Hillary Clinton,3676,Democrat,2016
Alabama,Bernie Sanders,428,Democrat,2016
Alabama,Hillary Clinton,2047,Democrat,2016
Alabama,Bernie Sanders,2464,Democrat,2016
Alabama,Hillary Clinton,7137,Democrat,2016
Alabama,Bernie Sanders,1120,Democrat,2016
Alabama,Hillary Clinton,3199,Democrat,2016
Alabama,Bernie Sanders,330,Democrat,2016
Alabama,Hillary Clinton,3782,Democrat,2016
Alabama,Bernie Sanders,483,Democrat,2016
Alabama,Hillary Clinton,4293,Democrat,2016
Alabama,Bernie Sanders,8786,Democrat,2016
Alabama,Hillary Clinton,19995,Democrat,2016
Alabama,Bernie Sanders,1092,Democrat,2016
Alabama,Hillary Clinton,3590,Democrat,2016
Alabama,Bernie Sanders,256,Democrat,2016
Alabama,Hillary Clinton,567,Democrat,2016
Alabama,Bernie Sanders,821,Democrat,2016
Alabama,Hillary Clinton,1494,Democrat,2016
Alabama,Bernie Sanders,5672,Democrat,2016
Alabama,Hillary Clinton,28927,Democrat,2016
Alabama,Bernie Sanders,205,Democrat,2016
Alabama,Hillary Clinton,2438,Democrat,2016
Alabama,Bernie Sanders,4266,Democrat,2016
Alabama,Hillary Clinton,28650,Democrat,2016
Alabama,Bernie Sanders,1345,Democrat,2016
Alabama,Hillary Clinton,3897,Democrat,2016
Alabama,Bernie Sanders,389,Democrat,2016
Alabama,Hillary Clinton,2575,Democrat,2016
Alabama,Bernie Sanders,453,Democrat,2016
Alabama,Hillary Clinton,2326,Democrat,2016
Alabama,Bernie Sanders,379,Democrat,2016
Alabama,Hillary Clinton,2183,Democrat,2016
Alabama,Bernie Sanders,328,Democrat,2016
Alabama,Hillary Clinton,1236,Democrat,2016
Alabama,Bernie Sanders,988,Democrat,2016
Alabama,Hillary Clinton,4381,Democrat,2016
Alabama,Bernie Sanders,3755,Democrat,2016
Alabama,Hillary Clinton,6657,Democrat,2016
Alabama,Bernie Sanders,745,Democrat,2016
Alabama,Hillary Clinton,1808,Democrat,2016
Alabama,Bernie Sanders,416,Democrat,2016
Alabama,Hillary Clinton,2987,Democrat,2016
Alabama,Bernie Sanders,782,Democrat,2016
Alabama,Hillary Clinton,5561,Democrat,2016
Alabama,Bernie Sanders,308,Democrat,2016
Alabama,Hillary Clinton,2658,Democrat,2016
Alabama,Bernie Sanders,3444,Democrat,2016
Alabama,Hillary Clinton,12136,Democrat,2016
Alabama,Bernie Sanders,727,Democrat,2016
Alabama,Hillary Clinton,1772,Democrat,2016
Alabama,Bernie Sanders,562,Democrat,2016
Alabama,Hillary Clinton,1511,Democrat,2016
Alabama,Bernie Sanders,410,Democrat,2016
Alabama,Hillary Clinton,3337,Democrat,2016
Alabama,Bernie Sanders,138,Democrat,2016
Alabama,Hillary Clinton,303,Democrat,2016
Alabama,Ben Carson,1764,Republican,2016
Alabama,Donald Trump,5387,Republican,2016
Alabama,John Kasich,421,Republican,2016
Alabama,Marco Rubio,1785,Republican,2016
Alabama,Ted Cruz,2482,Republican,2016
Alabama,Ben Carson,4221,Republican,2016
Alabama,Donald Trump,23618,Republican,2016
Alabama,John Kasich,2987,Republican,2016
Alabama,Marco Rubio,9703,Republican,2016
Alabama,Ted Cruz,8571,Republican,2016
Alabama,Ben Carson,417,Republican,2016
Alabama,Donald Trump,1710,Republican,2016
Alabama,John Kasich,123,Republican,2016
Alabama,Marco Rubio,498,Republican,2016
Alabama,Ted Cruz,609,Republican,2016
Alabama,Ben Carson,393,Republican,2016
Alabama,Donald Trump,1959,Republican,2016
Alabama,John Kasich,84,Republican,2016
Alabama,Marco Rubio,444,Republican,2016
Alabama,Ted Cruz,1011,Republican,2016
Alabama,Ben Carson,1523,Republican,2016
Alabama,Donald Trump,7390,Republican,2016
Alabama,John Kasich,337,Republican,2016
Alabama,Marco Rubio,1843,Republican,2016
Alabama,Ted Cruz,3698,Republican,2016
Alabama,Ben Carson,47,Republican,2016
Alabama,Donald Trump,313,Republican,2016
Alabama,John Kasich,23,Republican,2016
Alabama,Marco Rubio,64,Republican,2016
Alabama,Ted Cruz,94,Republican,2016
Alabama,Ben Carson,377,Republican,2016
Alabama,Donald Trump,1720,Republican,2016
Alabama,John Kasich,86,Republican,2016
Alabama,Marco Rubio,427,Republican,2016
Alabama,Ted Cruz,534,Republican,2016
Alabama,Ben Carson,2350,Republican,2016
Alabama,Donald Trump,8960,Republican,2016
Alabama,John Kasich,957,Republican,2016
Alabama,Marco Rubio,3251,Republican,2016
Alabama,Ted Cruz,3859,Republican,2016
Alabama,Ben Carson,595,Republican,2016
Alabama,Donald Trump,2169,Republican,2016
Alabama,John Kasich,168,Republican,2016
Alabama,Marco Rubio,595,Republican,2016
Alabama,Ted Cruz,914,Republican,2016
Alabama,Ben Carson,534,Republican,2016
Alabama,Donald Trump,2777,Republican,2016
Alabama,John Kasich,151,Republican,2016
Alabama,Marco Rubio,810,Republican,2016
Alabama,Ted Cruz,921,Republican,2016
Alabama,Ben Carson,1149,Republican,2016
Alabama,Donald Trump,5273,Republican,2016
Alabama,John Kasich,218,Republican,2016
Alabama,Marco Rubio,1436,Republican,2016
Alabama,Ted Cruz,2328,Republican,2016
Alabama,Ben Carson,169,Republican,2016
Alabama,Donald Trump,1070,Republican,2016
Alabama,John Kasich,68,Republican,2016
Alabama,Marco Rubio,315,Republican,2016
Alabama,Ted Cruz,451,Republican,2016
Alabama,Ben Carson,410,Republican,2016
Alabama,Donald Trump,2308,Republican,2016
Alabama,John Kasich,125,Republican,2016
Alabama,Marco Rubio,805,Republican,2016
Alabama,Ted Cruz,886,Republican,2016
Alabama,Ben Carson,492,Republican,2016
Alabama,Donald Trump,1920,Republican,2016
Alabama,John Kasich,125,Republican,2016
Alabama,Marco Rubio,505,Republican,2016
Alabama,Ted Cruz,836,Republican,2016
Alabama,Ben Carson,437,Republican,2016
Alabama,Donald Trump,2120,Republican,2016
Alabama,John Kasich,106,Republican,2016
Alabama,Marco Rubio,598,Republican,2016
Alabama,Ted Cruz,928,Republican,2016
Alabama,Ben Carson,1368,Republican,2016
Alabama,Donald Trump,4304,Republican,2016
Alabama,John Kasich,377,Republican,2016
Alabama,Marco Rubio,1608,Republican,2016
Alabama,Ted Cruz,2421,Republican,2016
Alabama,Ben Carson,884,Republican,2016
Alabama,Donald Trump,3858,Republican,2016
Alabama,John Kasich,250,Republican,2016
Alabama,Marco Rubio,1443,Republican,2016
Alabama,Ted Cruz,1601,Republican,2016
Alabama,Ben Carson,137,Republican,2016
Alabama,Donald Trump,768,Republican,2016
Alabama,John Kasich,17,Republican,2016
Alabama,Marco Rubio,141,Republican,2016
Alabama,Ted Cruz,208,Republican,2016
Alabama,Ben Carson,201,Republican,2016
Alabama,Donald Trump,1233,Republican,2016
Alabama,John Kasich,66,Republican,2016
Alabama,Marco Rubio,241,Republican,2016
Alabama,Ted Cruz,435,Republican,2016
Alabama,Ben Carson,1275,Republican,2016
Alabama,Donald Trump,4608,Republican,2016
Alabama,John Kasich,324,Republican,2016
Alabama,Marco Rubio,1277,Republican,2016
Alabama,Ted Cruz,1773,Republican,2016
Alabama,Ben Carson,286,Republican,2016
Alabama,Donald Trump,1496,Republican,2016
Alabama,John Kasich,70,Republican,2016
Alabama,Marco Rubio,250,Republican,2016
Alabama,Ted Cruz,602,Republican,2016
Alabama,Ben Carson,2301,Republican,2016
Alabama,Donald Trump,10618,Republican,2016
Alabama,John Kasich,558,Republican,2016
Alabama,Marco Rubio,2832,Republican,2016
Alabama,Ted Cruz,4248,Republican,2016
Alabama,Ben Carson,1150,Republican,2016
Alabama,Donald Trump,4151,Republican,2016
Alabama,John Kasich,333,Republican,2016
Alabama,Marco Rubio,1194,Republican,2016
Alabama,Ted Cruz,2008,Republican,2016
Alabama,Ben Carson,46,Republican,2016
Alabama,Donald Trump,523,Republican,2016
Alabama,John Kasich,23,Republican,2016
Alabama,Marco Rubio,76,Republican,2016
Alabama,Ted Cruz,181,Republican,2016
Alabama,Ben Carson,1285,Republican,2016
Alabama,Donald Trump,6247,Republican,2016
Alabama,John Kasich,325,Republican,2016
Alabama,Marco Rubio,2837,Republican,2016
Alabama,Ted Cruz,2153,Republican,2016
Alabama,Ben Carson,2630,Republican,2016
Alabama,Donald Trump,8525,Republican,2016
Alabama,John Kasich,634,Republican,2016
Alabama,Marco Rubio,2387,Republican,2016
Alabama,Ted Cruz,3236,Republican,2016
Alabama,Ben Carson,585,Republican,2016
Alabama,Donald Trump,2817,Republican,2016
Alabama,John Kasich,194,Republican,2016
Alabama,Marco Rubio,1028,Republican,2016
Alabama,Ted Cruz,978,Republican,2016
Alabama,Ben Carson,2098,Republican,2016
Alabama,Donald Trump,8657,Republican,2016
Alabama,John Kasich,616,Republican,2016
Alabama,Marco Rubio,3155,Republican,2016
Alabama,Ted Cruz,3891,Republican,2016
Alabama,Ben Carson,488,Republican,2016
Alabama,Donald Trump,2479,Republican,2016
Alabama,John Kasich,124,Republican,2016
Alabama,Marco Rubio,663,Republican,2016
Alabama,Ted Cruz,1043,Republican,2016
Alabama,Ben Carson,388,Republican,2016
Alabama,Donald Trump,2155,Republican,2016
Alabama,John Kasich,107,Republican,2016
Alabama,Marco Rubio,562,Republican,2016
Alabama,Ted Cruz,892,Republican,2016
Alabama,Ben Carson,592,Republican,2016
Alabama,Donald Trump,3106,Republican,2016
Alabama,John Kasich,146,Republican,2016
Alabama,Marco Rubio,829,Republican,2016
Alabama,Ted Cruz,1517,Republican,2016
Alabama,Ben Carson,19,Republican,2016
Alabama,Donald Trump,147,Republican,2016
Alabama,John Kasich,10,Republican,2016
Alabama,Marco Rubio,33,Republican,2016
Alabama,Ted Cruz,59,Republican,2016
Alabama,Ben Carson,88,Republican,2016
Alabama,Donald Trump,590,Republican,2016
Alabama,John Kasich,24,Republican,2016
Alabama,Marco Rubio,132,Republican,2016
Alabama,Ted Cruz,283,Republican,2016
Alabama,Ben Carson,436,Republican,2016
Alabama,Donald Trump,1778,Republican,2016
Alabama,John Kasich,107,Republican,2016
Alabama,Marco Rubio,545,Republican,2016
Alabama,Ted Cruz,847,Republican,2016
Alabama,Ben Carson,2310,Republican,2016
Alabama,Donald Trump,8171,Republican,2016
Alabama,John Kasich,836,Republican,2016
Alabama,Marco Rubio,3683,Republican,2016
Alabama,Ted Cruz,4558,Republican,2016
Alabama,Ben Carson,1185,Republican,2016
Alabama,Donald Trump,5463,Republican,2016
Alabama,John Kasich,310,Republican,2016
Alabama,Marco Rubio,1847,Republican,2016
Alabama,Ted Cruz,1791,Republican,2016
Alabama,Ben Carson,8368,Republican,2016
Alabama,Donald Trump,32853,Republican,2016
Alabama,John Kasich,5711,Republican,2016
Alabama,Marco Rubio,23132,Republican,2016
Alabama,Ted Cruz,22355,Republican,2016
Alabama,Ben Carson,344,Republican,2016
Alabama,Donald Trump,1810,Republican,2016
Alabama,John Kasich,103,Republican,2016
Alabama,Marco Rubio,466,Republican,2016
Alabama,Ted Cruz,692,Republican,2016
Alabama,Ben Carson,2151,Republican,2016
Alabama,Donald Trump,7502,Republican,2016
Alabama,John Kasich,983,Republican,2016
Alabama,Marco Rubio,3320,Republican,2016
Alabama,Ted Cruz,3265,Republican,2016
Alabama,Ben Carson,733,Republican,2016
Alabama,Donald Trump,3604,Republican,2016
Alabama,John Kasich,196,Republican,2016
Alabama,Marco Rubio,925,Republican,2016
Alabama,Ted Cruz,1204,Republican,2016
Alabama,Ben Carson,2460,Republican,2016
Alabama,Donald Trump,6934,Republican,2016
Alabama,John Kasich,1501,Republican,2016
Alabama,Marco Rubio,4734,Republican,2016
Alabama,Ted Cruz,4880,Republican,2016
Alabama,Ben Carson,2061,Republican,2016
Alabama,Donald Trump,8198,Republican,2016
Alabama,John Kasich,746,Republican,2016
Alabama,Marco Rubio,3602,Republican,2016
Alabama,Ted Cruz,4082,Republican,2016
Alabama,Ben Carson,88,Republican,2016
Alabama,Donald Trump,500,Republican,2016
Alabama,John Kasich,26,Republican,2016
Alabama,Marco Rubio,83,Republican,2016
Alabama,Ted Cruz,137,Republican,2016
Alabama,Ben Carson,94,Republican,2016
Alabama,Donald Trump,356,Republican,2016
Alabama,John Kasich,39,Republican,2016
Alabama,Marco Rubio,92,Republican,2016
Alabama,Ted Cruz,147,Republican,2016
Alabama,Ben Carson,6293,Republican,2016
Alabama,Donald Trump,23791,Republican,2016
Alabama,John Kasich,3919,Republican,2016
Alabama,Marco Rubio,17116,Republican,2016
Alabama,Ted Cruz,13622,Republican,2016
Alabama,Ben Carson,85,Republican,2016
Alabama,Donald Trump,580,Republican,2016
Alabama,John Kasich,26,Republican,2016
Alabama,Marco Rubio,127,Republican,2016
Alabama,Ted Cruz,228,Republican,2016
Alabama,Ben Carson,589,Republican,2016
Alabama,Donald Trump,3503,Republican,2016
Alabama,John Kasich,167,Republican,2016
Alabama,Marco Rubio,921,Republican,2016
Alabama,Ted Cruz,1268,Republican,2016
Alabama,Ben Carson,1813,Republican,2016
Alabama,Donald Trump,9115,Republican,2016
Alabama,John Kasich,595,Republican,2016
Alabama,Marco Rubio,3785,Republican,2016
Alabama,Ted Cruz,2784,Republican,2016
Alabama,Ben Carson,4824,Republican,2016
Alabama,Donald Trump,28326,Republican,2016
Alabama,John Kasich,2893,Republican,2016
Alabama,Marco Rubio,11850,Republican,2016
Alabama,Ted Cruz,13458,Republican,2016
Alabama,Ben Carson,373,Republican,2016
Alabama,Donald Trump,1966,Republican,2016
